24307,0,0,11539,20737,332,1512,5238,309
22419,0,0,22282,56349,318,16920,39051,371
23591,0,0,28566,103551,339,23520,54676,455
21421,0,0,8556,22524,239,2331,7049,266
17948,0,0,7213,41703,225,1154,8113,214
21712,0,0,12650,54961,327,3821,18929,338
18832,0,0,6131,36133,233,571,5884,116
21893,0,0,33298,117375,366,23616,70335,437
21202,0,0,22471,71331,345,17126,46665,453
22761,0,0,14700,52333,250,18929,34915,457
24929,0,0,4038,22796,209,4157,12036,463
27513,0,0,783,8919,125,370,5317,92
21118,0,0,805,8995,141,54,1051,97
17153,0,0,27691,90537,385,5779,13456,498
26179,0,0,17890,56505,374,544,5447,149
16020,0,0,21026,85438,335,4110,16926,346
19880,0,0,25348,54475,464,206,2990,79
16615,0,0,9979,44582,268,185,2569,107
24822,0,0,3782,29616,163,1111,12174,145
28161,0,0,11525,32522,371,3665,15614,340
