Bellman temps,Bellman nodes évalués,Bell taille max du tas,Dijkstra temps,Dijkstra nodes évalués,Dijkstra taille max du tas,Astar temps,Astar nodes évalués,Astar taille max du tas
14916,0,0,785,58479,575,658,48486,582
10848,0,0,212,39396,465,189,25101,471
10884,0,0,381,61949,615,146,26590,430
14972,0,0,897,96103,562,781,65094,637
15579,0,0,1145,102768,736,231,32162,500
11768,0,0,1276,129392,917,355,50539,795
14066,0,0,602,50301,845,18,5384,232
16658,0,0,1272,105976,804,896,68713,1071
8726,0,0,192,32397,414,167,20826,411
9655,0,0,1200,133911,912,556,74640,833
10931,0,0,207,36035,447,118,16936,449
8831,0,0,985,65622,840,19,5624,202
14800,0,0,1136,125359,557,1304,108328,687
15637,0,0,814,88894,593,1109,73699,897
10122,0,0,345,64142,571,94,22924,451
15732,0,0,549,39029,483,458,30866,600
9321,0,0,100,22931,467,46,9001,345
7448,0,0,270,52096,538,208,29703,521
20642,0,0,596,68158,493,771,58420,718
15100,0,0,1032,121785,570,986,103787,673
13718,0,0,1516,122974,887,1041,95745,817
10069,0,0,341,68809,481,176,34523,522
9978,0,0,413,78344,534,272,39316,527
8846,0,0,135,25208,527,64,12895,359
18016,0,0,0,252,33,1,176,20
14077,0,0,1257,118862,711,1064,91650,811
13554,0,0,1064,68735,968,737,35850,820
10221,0,0,732,67889,1053,303,31867,641
14089,0,0,680,53210,617,585,42663,629
15020,0,0,1247,108006,884,1072,75459,777
9780,0,0,1280,134246,873,1950,114425,1464
11045,0,0,1069,103133,827,221,38128,486
9933,0,0,100,9923,320,97,8853,317
8939,0,0,1403,111655,942,1159,68571,1072
14991,0,0,101,9293,378,58,5532,360
15552,0,0,921,101086,557,795,74121,621
12933,0,0,1252,128569,919,450,59494,756
14544,0,0,35,4481,390,4,962,122
15160,0,0,264,19991,524,121,10231,473
9971,0,0,121,22842,283,79,10734,239
9154,0,0,404,62720,783,228,29209,585
9205,0,0,1309,125504,1024,367,55526,571
10436,0,0,124,33709,478,77,18695,432
10008,0,0,1197,122091,878,374,50379,714
8830,0,0,1469,113059,1069,151,27796,576
9386,0,0,468,78149,657,308,38960,769
16464,0,0,240,24798,455,256,20393,654
9890,0,0,231,38115,470,145,22787,312
9461,0,0,995,90747,1070,660,48256,1000
11086,0,0,1364,118986,1064,1200,70045,1029
16723,0,0,802,89219,560,695,54522,695
